variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
narrow_d192_b4_r2,19,PRUNED,-1.0843250328434038,False,,,1000,0.08602528846434628,0.106999559502583,0.8039779683604175,0.08602528846434628,0.106999559502583,0.8039779683604175,1000,cosine_decay,0.0009545118797493763,1.0,0.13307791732468405,9.741093918148283e-07,0.3230978162416107,1.0,0.03619099447095018,0.677268484589155,
wide_d320_b4_r2,0,COMPLETE,-1.2395071724697608,True,cdl_c,UMi Stage-A warm start,4000,0.06360823822130139,0.11423495997829984,0.5568193680234532,0.06360823822130139,0.11423495997829984,0.5568193680234532,4000,polynomial_decay,0.0008750519993093886,1.25,0.04207132643385709,8.74508633569595e-06,0.0643864199362532,0.5,0.007330371807527297,0.5882632740021015,1.660055250588681
wide_d320_b4_r2,1,COMPLETE,-1.1979152366146602,False,,,4000,0.06944552096926297,0.11423495997829984,0.6079182851068963,0.06944552096926297,0.11423495997829984,0.6079182851068963,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
wide_d320_b4_r2,2,COMPLETE,-1.249177934830509,False,,,4000,0.06076494548081731,0.11423495997829984,0.5319295029504126,0.06076494548081731,0.11423495997829984,0.5319295029504126,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
wide_d320_b4_r2,3,COMPLETE,-1.182348512441493,False,,,4000,0.07147166484113161,0.11423495997829984,0.6256549208290388,0.07147166484113161,0.11423495997829984,0.6256549208290388,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
wide_d320_b4_r2,4,COMPLETE,-1.1656955184116393,False,,,4000,0.0729382320229585,0.11423495997829984,0.638493085101215,0.0729382320229585,0.11423495997829984,0.638493085101215,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
wide_d320_b4_r2,5,COMPLETE,-1.2129811593019402,False,,,4000,0.0675365684631591,0.11423495997829984,0.5912075294287178,0.0675365684631591,0.11423495997829984,0.5912075294287178,4000,cosine_decay,0.0004568972058255479,0.75,0.02308016679308127,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,
wide_d320_b4_r2,6,PRUNED,-1.0908835629793763,False,,,1000,0.0849494743354929,0.106999559502583,0.7939235893157316,0.0849494743354929,0.106999559502583,0.7939235893157316,1000,polynomial_decay,0.0005282942092946875,0.75,0.024074361764179382,3.5182369647795597e-07,0.0963980983750926,2.0,0.06268681536019342,0.42637817769796615,1.0905445756134515
wide_d320_b4_r2,7,PRUNED,-1.216718968967398,False,,,4000,0.06659612449584529,0.11423495997829984,0.5829749886417953,0.06659612449584529,0.11423495997829984,0.5829749886417953,4000,cosine_decay,0.0006365026066087508,0.75,0.021147713205237145,3.7197425572222765e-06,0.2822556432388877,0.5,0.008310248401180255,0.36424237701172735,
wide_d320_b4_r2,8,PRUNED,-1.136345702290687,False,,,1000,0.07785304075029369,0.106999559502583,0.7276015070736277,0.07785304075029369,0.106999559502583,0.7276015070736277,1000,constant,0.0005809397231941362,,,1.912227231393291e-07,0.3089601517759952,0.5,0.11304439362235329,0.15372369184136675,
wide_d320_b4_r2,9,PRUNED,-1.1184913453525342,False,,,1000,0.08056644680133711,0.106999559502583,0.7529605465281585,0.08056644680133711,0.106999559502583,0.7529605465281585,1000,constant,0.0011846756846122385,,,7.935803724335564e-07,0.06211526700128886,0.5,0.09701928945187067,0.3136992083000011,
wide_d320_b4_r2,10,PRUNED,-1.139825127909219,False,,,1000,0.07733499439200386,0.106999559502583,0.7227599323914691,0.07733499439200386,0.106999559502583,0.7227599323914691,1000,constant,0.0007749349842627399,,,1.1957496756294423e-07,0.17257378079061886,0.5,0.09118634538381744,0.5088494568176662,
